date_part,new_diy_flag,agent_id,created,saved,sent,downloaded,psm_detail,psm_review,checkout,bookings
2026-08-18,0,HES5876,4,4,4,0,2,,0,0
2026-08-18,0,frapatiala1,5,4,2,0,3,2,0,0
2026-08-18,0,fra00266,15,11,0,11,2,,0,0
2026-08-18,1,HES6712,3,3,1,2,2,,0,0
2026-08-18,0,hes7511,12,10,4,5,3,2,0,0
2026-08-18,0,hes7717,5,4,1,3,2,,0,0
2026-08-18,0,fra00325,7,6,5,1,,,0,0
2026-08-18,0,HES4962,2,2,0,2,,,0,0
2026-08-18,1,hes6639,1,1,1,0,1,,0,0
2026-08-18,0,hes7469,13,9,2,7,1,,0,0
2026-08-18,0,hes7126,1,1,0,1,,,0,0
2026-08-18,0,hes6438,4,4,2,2,,,0,0
2026-08-18,0,fra00346,2,2,1,1,,,0,0
2026-08-18,0,HES4183,2,2,1,1,1,,0,0
2026-08-18,0,hes5880,1,1,0,1,,,0,0
2026-08-18,0,hes5444,2,2,1,1,1,,0,0
2026-08-18,1,hes8502,1,1,1,0,1,,0,0
2026-08-18,1,HES4962,1,1,1,0,1,,0,0
2026-08-18,0,hes5113,4,3,1,2,,,0,0
2026-08-18,0,nungambakkam001,11,10,10,0,2,,0,0
2026-08-18,0,hes7547,2,1,0,1,,,0,0
2026-08-18,1,hes8655,2,2,0,0,,,0,0
2026-08-18,0,FRA00083,4,4,4,0,1,,0,0
2026-08-18,1,hes8425,1,1,0,1,,,0,0
2026-08-18,0,HES0325,11,9,0,9,,,0,0
2026-08-18,0,hes7428,4,4,1,3,,,0,0
2026-08-18,0,FRA00195,4,4,0,4,,,0,0
2026-08-18,0,hes8803,4,4,3,1,3,,0,0
2026-08-18,0,hes6852,11,11,11,0,2,,0,0
2026-08-18,0,hes8442,2,2,1,1,1,,0,0
2026-08-18,0,hes6131,2,1,1,0,,,0,0
2026-08-18,0,hes7978,7,6,6,0,7,,0,0
2026-08-18,0,hes8663,14,12,2,7,2,,0,0
2026-08-18,1,hes7195,1,1,0,1,,,0,0
2026-08-18,0,hes7843,8,5,0,5,,,0,0
2026-08-18,0,hes7263,7,7,1,6,,,0,0
2026-08-18,0,hes6423,1,1,1,0,1,,0,0
2026-08-18,0,rmdn4078,30,27,18,9,4,,0,0
2026-08-18,0,hes7567,1,1,1,0,,,0,0
2026-08-18,0,icsats90188,8,7,3,4,1,,0,0
2026-08-18,0,FRA00052,3,2,2,0,,,0,0
2026-08-18,0,hes9389,8,7,2,3,5,,0,0
2026-08-18,0,hes9290,13,13,2,10,5,,0,0
2026-08-18,1,HES4113,2,2,1,1,1,,0,0
2026-08-18,0,HES6669,2,2,1,1,1,1,0,0
2026-08-18,0,fra00333,7,5,2,2,6,,0,0
2026-08-18,0,hes9137,2,1,0,1,,,0,0
2026-08-18,0,hes7212,2,1,0,1,,,0,0
2026-08-18,1,hes9294,2,2,1,1,,,0,0
2026-08-18,0,hes6042,2,2,1,0,,,0,0
2026-08-18,0,rmdn8273,18,18,15,3,11,2,0,0
2026-08-18,0,hes9168,2,1,0,1,2,,0,0
2026-08-18,0,hes8131,7,6,3,2,1,,0,0
2026-08-18,0,surat001,4,4,4,0,2,2,0,0
2026-08-18,0,HES5107,4,4,4,0,1,,0,0
2026-08-18,1,HES8532,5,4,4,0,2,,0,0
2026-08-18,1,HES7726,1,1,0,1,1,,0,0
